-----------------------------------------
Line No  	Token Type		Lexeme
-----------------------------------------
line no:1	PreProcess
			Directive    	#include<iostream>
line no:2	keyword    		using
line no:2	keyword    		namespace
line no:2	keyword    		std
line no:2	punctuation		;
line no:4	keyword    		class
line no:4	identifier 		Person
line no:5	punctuation		{
line no:6	keyword    		int
line no:6	identifier 		id
line no:6	punctuation		;
line no:7	keyword    		char
line no:7	identifier 		name
line no:7	operator   		[100]
line no:7	punctuation		;
line no:9	keyword    		public
line no:9	punctuation		:
line no:10	keyword    		void
line no:10	identifier 		set_p
line no:10	punctuation		(
line no:10	punctuation		)
line no:11	punctuation		{
line no:12	keyword    		cout
line no:12	operator   		<<
line no:12	punctuation		"
line no:12	identifier 		Enter
line no:12	identifier 		the
line no:12	identifier 		Id
line no:12	punctuation		:
line no:12	punctuation		"
line no:12	punctuation		;
line no:13	keyword    		cin
line no:13	operator   		>>
line no:13	identifier 		id
line no:13	punctuation		;
line no:14	identifier 		fflush
line no:14	punctuation		(
line no:14	identifier 		stdin
line no:14	punctuation		)
line no:14	punctuation		;
line no:15	keyword    		cout
line no:15	operator   		<<
line no:15	punctuation		"
line no:15	identifier 		Enter
line no:15	identifier 		the
line no:15	identifier 		Name
line no:15	punctuation		:
line no:15	punctuation		"
line no:15	punctuation		;
line no:16	keyword    		cin
line no:16	operator   		.
line no:16	identifier 		get
line no:16	punctuation		(
line no:16	identifier 		name
line no:16	punctuation		,
line no:16	identifier 		100
line no:16	punctuation		)
line no:16	punctuation		;
line no:17	punctuation		}
line no:19	keyword    		void
line no:19	identifier 		display_p
line no:19	punctuation		(
line no:19	punctuation		)
line no:20	punctuation		{
line no:21	keyword    		cout
line no:21	operator   		<<
line no:21	identifier 		endl
line no:21	operator   		<<
line no:21	identifier 		id
line no:21	operator   		<<
line no:21	punctuation		"
\line no:21	identifier 		t
line no:21	punctuation		"
line no:21	operator   		<<
line no:21	identifier 		name
line no:21	operator   		<<
line no:21	punctuation		"
\line no:21	identifier 		t
line no:21	punctuation		"
line no:21	punctuation		;
line no:22	punctuation		}
line no:23	punctuation		}
line no:23	punctuation		;
line no:25	keyword    		class
line no:25	identifier 		Student
line no:25	punctuation		:
line no:25	keyword    		private
line no:25	identifier 		Person
line no:26	punctuation		{
line no:27	keyword    		char
line no:27	identifier 		course
line no:27	operator   		[50]
line no:27	punctuation		;
line no:28	keyword    		int
line no:28	identifier 		fee
line no:28	punctuation		;
line no:30	keyword    		public
line no:30	punctuation		:
line no:31	keyword    		void
line no:31	identifier 		set_s
line no:31	punctuation		(
line no:31	punctuation		)
line no:32	punctuation		{
line no:33	identifier 		set_p
line no:33	punctuation		(
line no:33	punctuation		)
line no:33	punctuation		;
line no:34	keyword    		cout
line no:34	operator   		<<
line no:34	punctuation		"
line no:34	identifier 		Enter
line no:34	identifier 		the
line no:34	identifier 		Course
line no:34	identifier 		Name
line no:34	punctuation		:
line no:34	punctuation		"
line no:34	punctuation		;
line no:35	identifier 		fflush
line no:35	punctuation		(
line no:35	identifier 		stdin
line no:35	punctuation		)
line no:35	punctuation		;
line no:36	keyword    		cin
line no:36	operator   		.
line no:36	identifier 		getline
line no:36	punctuation		(
line no:36	identifier 		course
line no:36	punctuation		,
line no:36	identifier 		50
line no:36	punctuation		)
line no:36	punctuation		;
line no:37	keyword    		cout
line no:37	operator   		<<
line no:37	punctuation		"
line no:37	identifier 		Enter
line no:37	identifier 		the
line no:37	identifier 		Course
line no:37	identifier 		Fee
line no:37	punctuation		:
line no:37	punctuation		"
line no:37	punctuation		;
line no:38	keyword    		cin
line no:38	operator   		>>
line no:38	identifier 		fee
line no:38	punctuation		;
line no:39	punctuation		}
line no:41	keyword    		void
line no:41	identifier 		display_s
line no:41	punctuation		(
line no:41	punctuation		)
line no:42	punctuation		{
line no:43	identifier 		display_p
line no:43	punctuation		(
line no:43	punctuation		)
line no:43	punctuation		;
line no:44	keyword    		cout
line no:44	operator   		<<
line no:44	identifier 		course
line no:44	operator   		<<
line no:44	punctuation		"
\line no:44	identifier 		t
line no:44	punctuation		"
line no:44	operator   		<<
line no:44	identifier 		fee
line no:44	operator   		<<
line no:44	identifier 		endl
line no:44	punctuation		;
line no:45	punctuation		}
line no:46	punctuation		}
line no:46	punctuation		;
line no:48	identifier 		main
line no:48	punctuation		(
line no:48	punctuation		)
line no:49	punctuation		{
line no:50	identifier 		Student
line no:50	identifier 		s
line no:50	punctuation		;
line no:51	identifier 		s
line no:51	operator   		.
line no:51	identifier 		set_s
line no:51	punctuation		(
line no:51	punctuation		)
line no:51	punctuation		;
line no:52	identifier 		s
line no:52	operator   		.
line no:52	identifier 		display_s
line no:52	punctuation		(
line no:52	punctuation		)
line no:52	punctuation		;
line no:53	keyword    		return
line no:53	identifier 		0
line no:53	punctuation		;
line no:54	punctuation		}
